County,FIPS,Value (Dollars),Rank within US (of 3141 counties)
"Osceola County, Iowa",19143,69138,1108
"Dixon County, Nebraska",31051,69156,1107
"Logan County, Ohio",39091,69183,1106
"Chippewa County, Minnesota",27023,69192,1105
"Clinton County, New York",36019,69208,1104
"Major County, Oklahoma",40093,69229,1103
"Lane County, Oregon",41039,69311,1102
"Jerome County, Idaho",16053,69338,1101
"Bosque County, Texas",48035,69339,1100
"St. Clair County, Michigan",26147,69349,1099
"Atascosa County, Texas",48013,69413,1098
"Sweet Grass County, Montana",30097,69426,1097
"St. Louis County, Minnesota",27137,69455,1096
"Tulare County, California",6107,69489,1095
"Lincoln County, Nevada",32017,69496,1094
"Northumberland County, Virginia",51133,69500,1093
"Muscatine County, Iowa",19139,69512,1092
"Vernon County, Wisconsin",55123,69556,1091
"Chatham County, Georgia",13051,69575,1090
"Richland County, Montana",30083,69578,1089
"Bayfield County, Wisconsin",55007,69609,1088
"Kittson County, Minnesota",27069,69615,1087
"Oneida County, Wisconsin",55085,69621,1086
"Hancock County, Maine",23009,69630,1085
"Wilkin County, Minnesota",27167,69635,1084
"Butler County, Iowa",19023,69651,1083
"Pine County, Minnesota",27115,69666,1082
"Lewis County, Washington",53041,69690,1081
"Hancock County, Ohio",39063,69699,1080
"Bandera County, Texas",48019,69703,1079
"Webster County, Missouri",29225,69731,1078
"Wells County, Indiana",18179,69741,1077
"White County, Georgia",13311,69747,1076
"Coconino County, Arizona",4005,69748,1075
"Oglethorpe County, Georgia",13221,69784,1074
"Marshall County, Illinois",17123,69818,1073
"Ringgold County, Iowa",19159,69821,1072
"Cumberland County, Illinois",17035,69826,1070
"Sullivan County, New York",36105,69826,1070
"Charlottesville City, Virginia",51540,69829,1069
"Norman County, Minnesota",27107,69833,1068
"Autauga County, Alabama",1001,69841,1067
"Uintah County, Utah",49047,69861,1066
"Sanborn County, South Dakota",46111,69870,1065
"Lamoille County, Vermont",50015,69897,1064
"Henry County, Illinois",17073,69912,1063
"Boone County, Missouri",29019,69913,1062
"Kittitas County, Washington",53037,69928,1061
"Jackson County, Minnesota",27063,69955,1060
"Emery County, Utah",49015,69956,1058
"Lake County, Florida",12069,69956,1058
"Walsh County, North Dakota",38099,69976,1057
"Brown County, Ohio",39015,69990,1056
"Sheridan County, Kansas",20179,70000,1055
"Minidoka County, Idaho",16067,70060,1054
"Noble County, Oklahoma",40103,70071,1053
"Wayne County, Utah",49055,70074,1052
"DeKalb County, Indiana",18033,70080,1051
"Lake of the Woods County, Minnesota",27077,70091,1050
"Victoria County, Texas",48469,70101,1049
"Hunt County, Texas",48231,70112,1048
"Jasper County, Iowa",19099,70128,1047
"Woodbury County, Iowa",19193,70147,1046
"Beaver County, Pennsylvania",42007,70156,1045
"Meade County, Kentucky",21163,70163,1044
"St. Clair County, Illinois",17163,70178,1043
"Bay County, Florida",12005,70188,1042
"King County, Texas",48269,70192,1041
"Winona County, Minnesota",27169,70198,1040
"Nuckolls County, Nebraska",31129,70201,1039
"Williamsburg City, Virginia",51830,70206,1038
"Jackson County, Indiana",18071,70208,1037
"Hancock County, Iowa",19081,70212,1036
"Essex County, New York",36031,70215,1035
"Osage County, Kansas",20139,70216,1034
"Morrow County, Oregon",41049,70217,1033
"Kingsbury County, South Dakota",46077,70221,1032
"Barnes County, North Dakota",38003,70230,1031
"Carteret County, North Carolina",37031,70235,1030
"Brown County, South Dakota",46013,70239,1029
"Sully County, South Dakota",46119,70250,1028
"LaMoure County, North Dakota",38045,70263,1027
"Wyoming County, Pennsylvania",42131,70268,1026
"Reagan County, Texas",48383,70288,1025
"Pinellas County, Florida",12103,70293,1024
"Charles City County, Virginia",51036,70339,1023
"Stanton County, Kansas",20187,70361,1022
"Klickitat County, Washington",53039,70400,1021
"LaPorte County, Indiana",18091,70452,1020
"Grayson County, Texas",48181,70455,1019
"Glenn County, California",6021,70487,1018
"Dolores County, Colorado",8033,70490,1017
"Ford County, Kansas",20057,70495,1016
"Kalamazoo County, Michigan",26077,70525,1015
"Park County, Wyoming",56029,70533,1014
"Hampden County, Massachusetts",25013,70535,1013
"Harlan County, Nebraska",31083,70536,1011
"Wabaunsee County, Kansas",20197,70536,1011
"McLean County, Kentucky",21149,70549,1010
"Bexar County, Texas",48029,70571,1009
"Buncombe County, North Carolina",37021,70578,1008
"Watonwan County, Minnesota",27165,70593,1007
"Bethel Census Area, Alaska",2050,70616,1006
"Kingfisher County, Oklahoma",40073,70617,1005
"Hubbard County, Minnesota",27057,70622,1004
"Bailey County, Texas",48017,70625,1001
"Clark County, Illinois",17023,70625,1001
"Clinton County, Missouri",29049,70625,1001
"Lorain County, Ohio",39093,70693,1000
"Rock County, Minnesota",27133,70698,999
"La Crosse County, Wisconsin",55063,70704,998
"Cuming County, Nebraska",31039,70708,997
"Pennington County, South Dakota",46103,70768,996
"Montgomery County, Virginia",51121,70769,995
"Livingston County, Illinois",17105,70796,994
"Hamilton County, Ohio",39061,70816,993
"Hettinger County, North Dakota",38041,70827,992
"Marshall County, Kansas",20117,70828,991
"Marshall County, Tennessee",47117,70829,990
"Baker County, Florida",12003,70833,989
"Sheridan County, Wyoming",56033,70855,988
"Millard County, Utah",49027,70877,987
"Spencer County, Indiana",18147,70890,986
"Noble County, Indiana",18113,70908,985
"Chaffee County, Colorado",8015,70909,984
"Otter Tail County, Minnesota",27111,70912,983
"Dawson County, Montana",30021,70953,982
"Granville County, North Carolina",37077,70975,980
"Moffat County, Colorado",8081,70975,980
"Sac County, Iowa",19161,70991,979
"Summit County, Ohio",39153,71016,978
"Carbon County, Montana",30009,71017,977
"Ector County, Texas",48135,71031,976
"Morrow County, Ohio",39117,71047,975
"Indian River County, Florida",12061,71049,974
"Stevens County, Minnesota",27149,71060,973
"Ripley County, Indiana",18137,71084,972
"Jasper County, Illinois",17079,71094,971
"Grant County, Washington",53025,71115,970
"Becker County, Minnesota",27005,71117,969
"Jefferson County, Washington",53031,71143,968
"Erie County, New York",36029,71175,967
"Schoharie County, New York",36095,71188,966
"Waupaca County, Wisconsin",55135,71189,965
"Crook County, Wyoming",56011,71209,964
"Lincoln County, Washington",53043,71227,963
"Preble County, Ohio",39135,71237,962
"Missoula County, Montana",30063,71246,961
"Natrona County, Wyoming",56025,71247,960
"Banner County, Nebraska",31007,71250,959
"Wichita County, Kansas",20203,71282,958
"Dodge County, Nebraska",31053,71294,957
"Trempealeau County, Wisconsin",55121,71295,956
"Shelby County, Indiana",18145,71301,955
"Ravalli County, Montana",30081,71323,954
"Flathead County, Montana",30029,71327,953
"Washington County, Iowa",19183,71339,952
"Crow Wing County, Minnesota",27035,71343,951
"Boone County, Nebraska",31011,71367,950
"Franklin County, North Carolina",37069,71386,949
"Logan County, Kansas",20109,71389,948
"Kent County, Texas",48263,71420,947
"Antrim County, Michigan",26009,71421,946
"Fresno County, California",6019,71434,945
"Lipscomb County, Texas",48295,71442,944
"Jackson County, Oregon",41029,71443,943
"Pottawattamie County, Iowa",19155,71446,942
"Lonoke County, Arkansas",5085,71449,941
"Mille Lacs County, Minnesota",27095,71455,940
"Howard County, Texas",48227,71457,939
"Surry County, Virginia",51181,71458,938
"Nez Perce County, Idaho",16069,71466,937
"Benton County, Minnesota",27009,71480,936
"Steuben County, Indiana",18151,71483,935
"Mesa County, Colorado",8077,71485,934
"Bennington County, Vermont",50003,71494,933
"Mower County, Minnesota",27099,71495,932
"Columbia County, Washington",53013,71528,931
"Yellow Medicine County, Minnesota",27173,71573,930
"Jackson County, Iowa",19097,71605,929
"Lac qui Parle County, Minnesota",27073,71639,928
"Cook County, Minnesota",27031,71643,927
"Logan County, Nebraska",31113,71650,926
"Dakota County, Nebraska",31043,71655,925
"Knox County, Tennessee",47093,71662,924
"Moultrie County, Illinois",17139,71676,923
"Marshall County, Minnesota",27089,71701,922
"Mercer County, Illinois",17131,71710,921
"Ward County, Texas",48475,71719,920
"Potter County, South Dakota",46107,71726,919
"Tipton County, Tennessee",47167,71736,918
"Anderson County, Kentucky",21005,71747,917
"Hamilton County, Iowa",19079,71750,916
"Wayne County, Ohio",39169,71769,915
"Polk County, Nebraska",31143,71771,914
"Door County, Wisconsin",55029,71785,912
"Dunn County, Wisconsin",55033,71785,912
"Tioga County, New York",36107,71791,911
"Carson City, Nevada",32510,71809,910
"Eau Claire County, Wisconsin",55035,71834,909
"McCone County, Montana",30055,71842,908
"Calhoun County, Texas",48057,71870,907
"Wyandot County, Ohio",39175,71878,906
"Sheboygan County, Wisconsin",55117,71898,905
"Knox County, Maine",23013,71903,904
"Kanabec County, Minnesota",27065,71915,903
"Dubois County, Indiana",18037,71918,902
"Smith County, Texas",48423,71923,901
"Shasta County, California",6089,71931,900
"Archer County, Texas",48009,71958,899
"Franklin County, Missouri",29071,71973,898
"Pershing County, Nevada",32027,72007,897
"Lincoln County, Maine",23015,72026,896
"Hemphill County, Texas",48211,72052,895
"Hand County, South Dakota",46059,72054,894
"Genesee County, New York",36037,72055,893
"Lafayette County, Wisconsin",55065,72091,892
"Franklin County, Kansas",20059,72142,891
"Ray County, Missouri",29177,72152,890
"Iowa County, Iowa",19095,72185,889
"Pope County, Minnesota",27121,72205,888
"Walla Walla County, Washington",53071,72212,887
"Tuolumne County, California",6109,72259,886
"La Salle County, Illinois",17099,72281,885
"Fallon County, Montana",30025,72284,884
"Brown County, Illinois",17009,72288,883
"White Pine County, Nevada",32033,72294,882
"Clark County, Indiana",18019,72298,881
"Carroll County, Georgia",13045,72327,880
"Dallam County, Texas",48111,72332,879
"Platte County, Nebraska",31141,72335,878
"Washington County, New York",36115,72342,877
"Rockdale County, Georgia",13247,72349,876
"Canyon County, Idaho",16027,72355,875
"Montgomery County, Tennessee",47125,72365,874
"Lumpkin County, Georgia",13187,72388,873
"Camden County, Georgia",13039,72399,872
"Catoosa County, Georgia",13047,72425,871
"Inyo County, California",6027,72432,870
"Finney County, Kansas",20055,72437,869
"Livingston County, New York",36051,72464,868
"Harrison County, Indiana",18061,72468,866
"Westmoreland County, Pennsylvania",42129,72468,866
"Cooke County, Texas",48097,72472,865
"Grant County, Kansas",20067,72484,864
"Cameron Parish, Louisiana",22023,72500,862
"Marshall County, South Dakota",46091,72500,862
"Grant County, Arkansas",5053,72512,861
"Monroe County, Iowa",19135,72518,860
"Richland County, North Dakota",38077,72524,859
"Hardin County, Texas",48199,72532,858
"Gilmer County, Georgia",13123,72542,857
"Pennington County, Minnesota",27113,72561,856
"Oneida County, Idaho",16071,72563,855
"Berkshire County, Massachusetts",25003,72565,854
"Hamilton County, Tennessee",47065,72568,853
"Douglas County, Wisconsin",55031,72579,852
"Franklin County, Massachusetts",25011,72584,851
"Miner County, South Dakota",46097,72589,850
"Benzie County, Michigan",26019,72603,849
"Haines Borough, Alaska",2100,72607,848
"Rio Blanco County, Colorado",8103,72620,847
"Blue Earth County, Minnesota",27013,72623,846
"Lancaster County, Nebraska",31109,72625,845
"Brown County, Indiana",18013,72644,844
"Callaway County, Missouri",29027,72645,843
"Aleutians East Borough, Alaska",2013,72692,842
"Custer County, Colorado",8027,72700,841
"Jackson County, Kansas",20085,72703,840
"Thomas County, Nebraska",31171,72708,839
"Centre County, Pennsylvania",42027,72748,838
"Lyon County, Minnesota",27083,72761,837
"Fremont County, Idaho",16043,72767,836
"Marshall County, Iowa",19127,72785,835
"Portage County, Ohio",39133,72822,833
"Shelby County, Ohio",39149,72822,833
"Doniphan County, Kansas",20043,72833,832
"King and Queen County, Virginia",51097,72851,831
"Wicomico County, Maryland",24045,72861,830
"Fulton County, Ohio",39051,72866,829
"Kent County, Delaware",10001,72872,828
"Winnebago County, Wisconsin",55139,72873,827
"Lyon County, Iowa",19119,72881,826
"Burleson County, Texas",48051,72888,825
"New Hanover County, North Carolina",37129,72892,824
"Union County, Pennsylvania",42119,72894,823
"East Feliciana Parish, Louisiana",22037,72899,822
"Flagler County, Florida",12035,72923,821
"Montour County, Pennsylvania",42093,72926,820
"Pickaway County, Ohio",39129,72927,819
"Cowlitz County, Washington",53015,72932,818
"Grant County, Minnesota",27051,72957,817
"Spink County, South Dakota",46115,73011,816
"Tompkins County, New York",36109,73012,815
"Scott County, Illinois",17171,73013,814
"Treasure County, Montana",30103,73036,813
"Jefferson County, Oregon",41031,73051,812
"Jones County, Iowa",19105,73071,811
"Eureka County, Nevada",32011,73095,810
"Lee County, Florida",12071,73099,809
"Harris County, Texas",48201,73104,808
"Wood County, Ohio",39173,73124,807
"Madison County, New York",36053,73141,806
"Fond du Lac County, Wisconsin",55039,73154,805
"Kiowa County, Kansas",20097,73214,804
"Dickson County, Tennessee",47043,73223,803
"Davie County, North Carolina",37059,73234,802
"Churchill County, Nevada",32001,73268,801
"Harvey County, Kansas",20079,73269,800
"Cole County, Missouri",29051,73273,799
"Portage County, Wisconsin",55097,73284,798
"Sumter County, Florida",12119,73297,797
"Yuba County, California",6115,73313,796
"Orange County, Texas",48361,73372,795
"Trego County, Kansas",20195,73375,794
"Linn County, Oregon",41043,73396,793
"Chickasaw County, Iowa",19037,73421,792
"Ionia County, Michigan",26067,73436,791
"Lyon County, Nevada",32019,73460,790
"Medina County, Texas",48325,73462,789
"Spokane County, Washington",53063,73513,788
"Thomas County, Kansas",20193,73575,787
"Roseau County, Minnesota",27135,73611,786
"Defiance County, Ohio",39039,73615,785
"Emmet County, Michigan",26047,73724,784
"Newton County, Georgia",13217,73732,783
"Fremont County, Iowa",19071,73750,782
"Sevier County, Utah",49041,73765,781
"Lake County, South Dakota",46079,73792,780
"Franklin County, Ohio",39049,73795,779
"Grant County, South Dakota",46051,73818,778
"Clark County, Nevada",32003,73845,777
"Yankton County, South Dakota",46135,73855,776
"San Juan County, Colorado",8111,73889,775
"Wayne County, New York",36117,73914,774
"Kosciusko County, Indiana",18085,73922,773
"Cedar County, Nebraska",31027,73977,772
"Knox County, Ohio",39083,73988,771
"Dodge County, Wisconsin",55027,73992,770
"Andrew County, Missouri",29003,74007,769
"Chippewa County, Wisconsin",55017,74009,768
"Greene County, New York",36039,74011,767
"Brunswick County, North Carolina",37019,74034,766
"Brule County, South Dakota",46015,74043,765
"York County, Nebraska",31185,74058,764
"Sangamon County, Illinois",17167,74114,763
"Aurora County, South Dakota",46003,74130,762
"Kearny County, Kansas",20093,74135,761
"Dallas County, Texas",48113,74149,760
"Middlesex County, Virginia",51119,74154,759
"Washington County, Maryland",24043,74157,758
"Dauphin County, Pennsylvania",42043,74159,757
"Meade County, South Dakota",46093,74161,756
"Maury County, Tennessee",47119,74162,755
"Sherman County, Texas",48421,74167,754
"Miami County, Ohio",39109,74175,753
"Wakulla County, Florida",12129,74183,752
"Douglas County, Illinois",17041,74186,751
"Southeast Fairbanks Census Area, Alaska",2240,74223,750
"Decatur County, Indiana",18031,74228,749
"Champaign County, Ohio",39021,74239,748
"Dillingham Census Area, Alaska",2070,74250,747
"West Feliciana Parish, Louisiana",22125,74277,746
"Hyde County, South Dakota",46069,74279,745
"Rock County, Wisconsin",55105,74390,744
"Yellowstone County, Montana",30111,74400,743
"Kent County, Maryland",24029,74402,742
"Monroe County, New York",36055,74409,741
"Cleveland County, Oklahoma",40027,74446,740
"Hutchinson County, South Dakota",46067,74459,739
"Murray County, Minnesota",27101,74475,738
"Howard County, Nebraska",31093,74508,737
"Ransom County, North Dakota",38073,74521,736
"Broward County, Florida",12011,74534,735
"Pepin County, Wisconsin",55091,74536,734
"Lewis and Clark County, Montana",30049,74543,733
"Buffalo County, Nebraska",31019,74570,731
"Dickinson County, Iowa",19059,74570,731
"Blount County, Tennessee",47009,74607,730
"Greenville County, South Carolina",45045,74624,728
"Marion County, Oregon",41047,74624,728
"Warren County, Indiana",18171,74635,727
"Santa Fe County, New Mexico",35049,74689,726
"Johnson County, Iowa",19103,74721,725
"Duchesne County, Utah",49013,74738,724
"Onondaga County, New York",36067,74740,723
"Lancaster County, South Carolina",45057,74751,722
"Harding County, South Dakota",46063,74766,721
"Holmes County, Ohio",39075,74774,720
"Madison County, Illinois",17119,74800,719
"Meade County, Kansas",20119,74868,718
"Jessamine County, Kentucky",21113,74886,717
"Franklin County, Pennsylvania",42055,74946,716
"Jo Daviess County, Illinois",17085,74954,715
"Kane County, Utah",49025,75000,713
"Sutton County, Texas",48435,75000,713
"Hillsborough County, Florida",12057,75011,712
"Lexington County, South Carolina",45063,75014,711
"Baldwin County, Alabama",1003,75019,710
"Cass County, North Dakota",38017,75023,709
"Meeker County, Minnesota",27093,75037,708
"Waseca County, Minnesota",27161,75052,707
"Washington County, Texas",48477,75085,706
"Kandiyohi County, Minnesota",27067,75097,705
"Colusa County, California",6011,75149,704
"Fillmore County, Minnesota",27045,75225,703
"Greenlee County, Arizona",4011,75239,702
"Windsor County, Vermont",50027,75247,701
"Monroe County, Michigan",26115,75272,700
"Turner County, South Dakota",46125,75283,699
"Pickens County, Georgia",13227,75293,698
"Racine County, Wisconsin",55101,75331,697
"Osage County, Missouri",29151,75355,696
"Effingham County, Illinois",17049,75380,695
"Morgan County, Colorado",8087,75407,694
"Jerauld County, South Dakota",46073,75417,693
"Sutter County, California",6101,75450,692
"Mathews County, Virginia",51115,75487,691
"Madera County, California",6039,75496,690
"Elmore County, Alabama",1051,75553,689
"Lake County, Minnesota",27075,75621,688
"Washington County, Illinois",17189,75652,686
"Winneshiek County, Iowa",19191,75652,686
"Davidson County, Tennessee",47037,75664,685
"Ottawa County, Ohio",39123,75728,684
"Grady County, Oklahoma",40051,75730,683
"Whitley County, Indiana",18183,75790,682
"Manatee County, Florida",12081,75792,681
"Brevard County, Florida",12009,75817,680
"Oconto County, Wisconsin",55083,75886,679
"Dubuque County, Iowa",19061,75919,678
"Sullivan County, New Hampshire",33019,75929,677
"Clay County, Nebraska",31035,75938,675
"Pierce County, Nebraska",31139,75938,675
"Austin County, Texas",48015,75994,674
"Benton County, Oregon",41003,76011,673
"Minnehaha County, South Dakota",46099,76074,672
"Sibley County, Minnesota",27143,76082,671
"Valley County, Idaho",16085,76125,670
"Waller County, Texas",48473,76135,669
"Putnam County, Indiana",18133,76182,668
"Marathon County, Wisconsin",55073,76185,667
"Delaware County, Iowa",19055,76205,666
"Polk County, Wisconsin",55095,76208,665
"Lapeer County, Michigan",26087,76228,664
"Colonial Heights City, Virginia",51570,76250,663
"Renville County, North Dakota",38075,76311,662
"Lebanon County, Pennsylvania",42075,76350,661
"Fillmore County, Nebraska",31059,76354,660
"Scott County, Iowa",19163,76363,659
"Allegheny County, Pennsylvania",42003,76393,658
"Macomb County, Michigan",26099,76399,657
"Oldham County, Texas",48359,76402,656
"Washington County, Utah",49053,76411,655
"Linn County, Iowa",19113,76421,654
"Stearns County, Minnesota",27145,76447,653
"Auglaize County, Ohio",39011,76454,652
"Sweetwater County, Wyoming",56037,76464,651
"Charlevoix County, Michigan",26029,76495,650
"Archuleta County, Colorado",8007,76524,649
"Golden Valley County, North Dakota",38033,76528,648
"Saline County, Arkansas",5125,76534,647
"Fayette County, Texas",48149,76541,646
"Jefferson County, Montana",30043,76576,645
"Gaines County, Texas",48165,76605,644
"Nome Census Area, Alaska",2180,76643,643
"Bonneville County, Idaho",16019,76646,642
"Tazewell County, Illinois",17179,76704,641
"Essex County, New Jersey",34013,76712,640
"Ottawa County, Kansas",20143,76755,639
"Atlantic County, New Jersey",34001,76819,638
"Pender County, North Carolina",37141,76838,637
"Bingham County, Idaho",16011,76842,636
"Rich County, Utah",49033,76875,634
"Worth County, Iowa",19195,76875,634
"Dorchester County, South Carolina",45035,76896,633
"Andrews County, Texas",48003,76902,632
"Lampasas County, Texas",48281,76919,631
"Oliver County, North Dakota",38065,76953,630
"Schenectady County, New York",36093,76989,629
"Stanley County, South Dakota",46117,77000,628
"Orange County, Florida",12095,77011,627
"Petersburg Census Area, Alaska",2195,77026,626
"Harrison County, Iowa",19085,77027,624
"Saline County, Nebraska",31151,77027,624
"Kootenai County, Idaho",16055,77034,623
"Martin County, Texas",48317,77083,622
"Houston County, Minnesota",27055,77087,621
"Burnet County, Texas",48053,77158,620
"Hawaii County, Hawaii",15001,77215,619
"Douglas County, Minnesota",27041,77264,618
"Edmunds County, South Dakota",46045,77266,617
"Campbell County, Kentucky",21037,77271,616
"Orange County, Vermont",50017,77328,615
"Berkeley County, West Virginia",54003,77329,614
"Boise County, Idaho",16015,77349,613
"Clay County, Texas",48077,77355,612
"Gunnison County, Colorado",8051,77358,611
"Walworth County, Wisconsin",55127,77359,610
"Nemaha County, Kansas",20131,77375,609
"Jefferson County, Kansas",20087,77393,608
"Hall County, Georgia",13139,77430,607
"Rankin County, Mississippi",28121,77454,606
"Barrow County, Georgia",13013,77477,605
"Washington County, Pennsylvania",42125,77487,604
"Brown County, Wisconsin",55009,77490,603
"Lehigh County, Pennsylvania",42077,77493,602
"Moody County, South Dakota",46101,77500,600
"Red Lake County, Minnesota",27125,77500,600
"Putnam County, Illinois",17155,77526,599
"Midland County, Michigan",26111,77538,598
"Pinal County, Arizona",4021,77588,597
"Bullitt County, Kentucky",21029,77640,596
"Bedford City and County, Virginia",51917,77644,595
"Sauk County, Wisconsin",55111,77648,594
"Clay County, Minnesota",27027,77664,593
"DeKalb County, Georgia",13089,77683,592
"Berks County, Pennsylvania",42011,77684,591
"Rogers County, Oklahoma",40131,77688,590
"Sargent County, North Dakota",38081,77697,589
"McPherson County, Kansas",20113,77701,588
"Kenai Peninsula Borough, Alaska",2122,77722,587
"Windham County, Connecticut",9015,77748,586
"Box Elder County, Utah",49003,77865,585
"Putnam County, West Virginia",54079,77871,584
"Barry County, Michigan",26015,77873,583
"Laramie County, Wyoming",56021,77884,582
"Gray County, Kansas",20069,77885,581
"Lake County, Ohio",39085,77952,580
"Warren County, Missouri",29219,77989,579
"Eaton County, Michigan",26045,78025,578
"Mercer County, Ohio",39107,78036,577
"Marion County, Iowa",19125,78059,576
"Douglas County, South Dakota",46043,78125,575
"Sussex County, Delaware",10005,78162,574
"Floyd County, Indiana",18043,78179,573
"Providence County, Rhode Island",44007,78204,572
"Warren County, New York",36113,78239,571
"Stanton County, Nebraska",31167,78275,570
"Cache County, Utah",49005,78292,569
"Chelan County, Washington",53007,78306,568
"Tipton County, Indiana",18159,78309,567
"McLean County, Illinois",17113,78329,566
"Mason County, Washington",53045,78359,565
"Salem County, New Jersey",34033,78412,564
"Buchanan County, Iowa",19019,78430,563
"Robertson County, Tennessee",47147,78439,562
"McLeod County, Minnesota",27085,78468,560
"Rockingham County, Virginia",51165,78468,560
"Lincoln County, North Carolina",37109,78490,559
"Wagoner County, Oklahoma",40145,78520,558
"Kings County, New York",36047,78548,557
"Skagway Municipality, Alaska",2230,78594,556
"Livingston Parish, Louisiana",22063,78617,555
"Iredell County, North Carolina",37097,78678,554
"Sterling County, Texas",48431,78750,553
"Madison County, Mississippi",28089,78794,552
"Greeley County, Kansas",20071,78819,551
"Perry County, Pennsylvania",42099,78824,550
"Hughes County, South Dakota",46065,78981,549
"St. Clair County, Alabama",1115,78993,548
"Franklin County, Vermont",50011,79078,547
"Cedar County, Iowa",19031,79080,546
"Douglas County, Nebraska",31055,79081,545
"Morgan County, Indiana",18109,79088,544
"Lafayette County, Missouri",29107,79091,543
"Okaloosa County, Florida",12091,79097,542
"Jersey County, Illinois",17083,79104,541
"Posey County, Indiana",18129,79124,540
"Gosper County, Nebraska",31073,79145,539
"Converse County, Wyoming",56009,79164,538
"Kearney County, Nebraska",31099,79167,537
"Ogle County, Illinois",17141,79244,536
"Henry County, Ohio",39069,79267,535
"Ward County, North Dakota",38101,79273,534
"St. Tammany Parish, Louisiana",22103,79277,533
"Walton County, Florida",12131,79281,532
"Pike County, Pennsylvania",42103,79318,531
"Mercer County, North Dakota",38057,79405,530
"Kenosha County, Wisconsin",55059,79412,529
"Kenton County, Kentucky",21117,79421,528
"Bartow County, Georgia",13015,79431,527
"Morton County, North Dakota",38059,79483,526
"Grand Traverse County, Michigan",26055,79486,525
"Union County, Indiana",18161,79500,524
"Durham County, North Carolina",37063,79501,523
"Davis County, Iowa",19051,79505,522
"Deuel County, South Dakota",46039,79556,521
"Eddy County, New Mexico",35015,79605,520
"Jasper County, Indiana",18073,79634,519
"Stanislaus County, California",6099,79661,518
"Franklin County, Indiana",18047,79702,517
"Colfax County, Nebraska",31037,79720,516
"Boone County, Iowa",19015,79741,515
"Ontario County, New York",36069,79814,514
"Johnston County, North Carolina",37101,79838,513
"Washington County, Vermont",50023,79853,512
"Calaveras County, California",6009,79877,511
"Hamilton County, Nebraska",31081,79884,510
"Humboldt County, Nevada",32013,79946,509
"Augusta County, Virginia",51015,79972,508
"Guthrie County, Iowa",19077,79981,507
"Woodford County, Kentucky",21239,80006,506
"Carlton County, Minnesota",27017,80042,505
"Kewaunee County, Wisconsin",55061,80085,504
"San Miguel County, Colorado",8113,80117,503
"Wabasha County, Minnesota",27157,80133,502
"Louisa County, Iowa",19115,80223,501
"Green County, Wisconsin",55045,80248,500
"Allegan County, Michigan",26005,80255,499
"Loudon County, Tennessee",47105,80296,498
"Steele County, North Dakota",38091,80313,497
"Louisa County, Virginia",51109,80343,496
"Nicollet County, Minnesota",27103,80362,495
"Bartholomew County, Indiana",18005,80365,494
"Douglas County, Washington",53017,80374,493
"Butler County, Kansas",20015,80375,492
"Kent County, Michigan",26081,80390,491
"Botetourt County, Virginia",51023,80467,490
"Jefferson County, Missouri",29099,80522,489
"Jefferson County, Wisconsin",55055,80604,488
"McHenry County, North Dakota",38049,80614,487
"Yakutat City and Borough, Alaska",2282,80625,486
"Sarasota County, Florida",12115,80633,485
"Teller County, Colorado",8119,80666,484
"Martin County, Florida",12085,80701,483
"Houston County, Georgia",13153,80743,482
"Stark County, North Dakota",38089,80744,481
"Douglas County, Georgia",13097,80764,480
"McCook County, South Dakota",46087,80847,479
"Randall County, Texas",48381,80905,478
"Whatcom County, Washington",53073,80989,477
"Cheshire County, New Hampshire",33005,81001,476
"Ramsey County, Minnesota",27123,81004,475
"Licking County, Ohio",39089,81033,474
"Adams County, Pennsylvania",42001,81071,473
"Palm Beach County, Florida",12099,81115,472
"Seward County, Nebraska",31159,81122,471
"Butler County, Ohio",39017,81194,470
"Dare County, North Carolina",37055,81214,469
"Christian County, Missouri",29043,81245,468
"Billings County, North Dakota",38007,81250,467
"Mountrail County, North Dakota",38061,81292,466
"Northwest Arctic Borough, Alaska",2188,81298,465
"Polk County, Oregon",41053,81318,464
"Menard County, Illinois",17129,81334,463
"St. Louis County, Missouri",29189,81340,462
"Otoe County, Nebraska",31131,81430,461
"Worcester County, Maryland",24047,81455,460
"Stillwater County, Montana",30095,81503,459
"Amador County, California",6005,81526,458
"Plymouth County, Iowa",19149,81600,457
"Henry County, Georgia",13151,81612,456
"Polk County, Iowa",19153,81621,455
"Boone County, Illinois",17007,81638,454
"Crook County, Oregon",41013,81675,453
"Crockett County, Texas",48105,81739,452
"Cook County, Illinois",17031,81797,451
"Ulster County, New York",36111,81804,450
"Johnson County, Texas",48251,81826,449
"McLean County, North Dakota",38055,81847,448
"Tarrant County, Texas",48439,81905,447
"Custer County, South Dakota",46033,81958,446
"Cheatham County, Tennessee",47021,82015,445
"Sagadahoc County, Maine",23023,82080,444
"Hood River County, Oregon",41027,82095,443
"Hartley County, Texas",48205,82122,442
"St. Charles Parish, Louisiana",22089,82172,441
"San Bernardino County, California",6071,82184,440
"York County, Pennsylvania",42133,82238,439
"Yoakum County, Texas",48501,82261,438
"Clinton County, Illinois",17027,82314,437
"Berkeley County, South Carolina",45015,82327,436
"Monroe County, Pennsylvania",42089,82374,435
"Walton County, Georgia",13297,82381,434
"Monroe County, Florida",12087,82430,433
"Rutherford County, Tennessee",47149,82588,432
"Butler County, Nebraska",31023,82603,431
"Shelby County, Kentucky",21211,82671,430
"Uinta County, Wyoming",56041,82672,429
